국가별,2000,2000,2000,2005,2005,2005,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018
국가별,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육
아시아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10269,11075,12421,10530,11702,13579,10633,-,-,-
인도,328,542,1976,-,606,1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
이스라엘,4580,5535,11299,4379,4859,9952,5021,5787,10658,5044,5426,10396,5876,5466,10322,6822,5833,11687,7097,7166,12588,7666,7546,13955,7605,7634,13453,7844,7851,10651,8430,8536,11718,9155,9079,12310,-,-,-
일본,-,-,-,6720,8191,14653,-,-,-,-,-,-,8882,-,17392,4028,-,17913,8640,10430,18655,-,-,-,-,-,-,9051,11071,19184,8735,10915,18671,8824,11024,18839,-,-,-
터키,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2625,3375,10815,3030,3789,11227,3263,4178,11076,3713,4620,11212,3885,4982,10412,4197,5586,10591,4002,4859,9708,-,-,-
북아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐나다,-,-,-,-,-,-,8937,-,-,-,-,-,9948,-,-,8131,15197,-,9130,12086,23777,9565,12662,-,9537,13133,-,9242,12889,-,9500,14296,24453,10238,13891,24671,-,-,-
멕시코,1307,1610,4611,1920,2121,6225,2246,2333,7504,2259,2622,12632,2407,2717,8128,2622,2943,7889,2656,3034,8188,2762,3115,7693,2880,3201,8901,2949,3210,8381,3045,3256,7555,2782,2823,6586,-,-,-
미국,7000,8576,19479,9217,10334,23637,10992,12128,26949,11204,12416,26996,11063,12561,25681,10982,12425,26203,10828,12607,27527,10962,12747,27579,11306,12981,29328,11727,13448,30001,12185,13846,31307,12592,14411,33063,-,-,-
남아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아르헨티나,1410,2105,1225,-,-,-,2617,3711,3282,2650,3991,3466,2777,4005,3822,3051,4514,4060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
브라질,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1297,-,14337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
칠레,1858,-,5955,2093,2187,5969,2947,2985,6385,3266,3144,6234,3331,3231,7160,3815,3595,7852,4563,4507,8354,4484,4274,7974,4111,4219,7813,4181,4334,6728,4972,4841,8254,5259,5167,9610,-,-,-
콜롬비아,-,-,-,-,-,-,-,-,-,1947,1962,5242,-,-,-,2085,2087,4980,2298,2315,5359,2617,2649,6824,2744,2764,3615,3091,2739,4998,3208,2835,6344,3274,3013,5702,3494,4177,2335
유럽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오스트리아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9873,14132,16476,10864,15040,16853,11111,15035,16868,11695,15486,17565,12494,16572,18623,12754,16705,19089,-,-,-
벨기에,-,-,-,-,7583,12286,-,9791,14650,-,9903,15382,-,10465,15460,-,10786,15666,9818,12323,15953,10072,12911,16697,10191,13156,17196,10230,13236,17353,10812,13848,18436,11106,14578,19422,-,-,-
체코,2600,-,5322,4051,-,6572,5149,-,8179,5735,-,8411,5767,-,7960,6185,-,9478,4775,7543,10422,4895,7803,10308,5086,8167,10490,5242,8532,10963,5198,8580,10193,5971,9666,11484,-,-,-
덴마크,7151,-,11523,8942,-,14867,10537,-,17816,11327,-,18947,11758,-,19566,10535,-,21888,11712,11274,-,12114,11547,15698,12199,13368,15626,-,-,-,-,-,-,13278,11164,18062,-,-,-
에스토니아,-,-,-,3706,-,3838,6119,-,5843,6209,-,4661,6218,-,6755,6203,-,8060,5853,7014,8490,7256,6523,11798,6167,6575,11965,6347,6884,12909,6943,6958,13042,7481,7404,14580,-,-,-
핀란드,5392,-,10658,6638,-,12332,8133,-,15526,8448,-,16748,8833,-,17185,9272,-,18182,8401,10087,18046,8590,10323,18018,8803,10377,17875,9323,10502,17625,9642,10642,17902,9633,10454,17730,-,-,-
프랑스,-,-,-,5128,9010,11189,5950,10283,14324,6282,10793,14945,6486,11050,15155,6675,11039,15585,6846,11122,15392,7265,11623,16234,7373,11787,16354,7444,11825,16252,7745,12326,16475,8319,12748,16952,-,-,-
독일,-,-,-,1462,-,13057,1664,-,16504,-,-,-,1940,-,17306,2017,-,17656,7750,10643,17144,8149,11161,16950,8580,11705,17145,8655,11831,17067,9170,12547,17798,9572,13283,18486,-,-,-
그리스,3744,-,3576,5354,-,6320,-,-,-,-,-,-,-,-,-,-,-,-,5266,6743,3811,5608,7008,3713,5862,6940,3881,5823,6801,4104,6093,6920,-,6085,6789,3294,-,-,-
헝가리,671,-,6199,1261,-,5522,-,-,-,-,-,-,-,-,-,-,-,-,4450,4500,9039,5498,4286,10374,3772,6075,8647,5122,5907,8817,5560,7314,11507,5491,6867,12878,-,-,-
아이슬란드,6392,-,9236,8961,-,9665,10089,-,10798,9764,-,10420,8804,-,8943,9216,-,8511,9906,8618,10898,10412,9139,11200,11146,10063,11418,11238,11172,12697,11912,11731,14743,13333,13122,16270,-,-,-
아일랜드,3993,-,11248,6481,-,10582,-,-,-,-,-,-,9749,-,-,9848,-,16259,8730,11399,15622,8128,10930,12993,7977,10626,13702,7473,10238,16543,7667,10174,16788,8215,9445,16794,-,-,-
이탈리아,6411,-,6987,7103,-,7274,8545,-,9588,8493,-,9784,8169,-,10062,7993,-,10676,7741,8759,10669,8083,8936,11303,8144,8789,11439,8474,9131,11321,8142,9366,11808,9160,10574,12226,-,-,-
라트비아,-,1969,2875,3006,3031,4270,5399,5352,6342,5090,5046,4950,4761,4749,5857,4931,4968,7454,5007,5163,7411,6016,5903,8051,6577,6627,8974,6730,6991,10225,6584,6899,7601,6379,7102,8346,-,-,-
리투아니아,-,-,-,-,-,4502,-,-,5991,-,-,5931,4779,4455,7171,4881,4648,9132,4905,4649,8964,5176,5006,9147,5289,5283,10049,5523,5209,9698,6170,5763,7851,6340,5997,8428,-,-,-
룩셈부르크,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19824,20392,-,17942,19704,-,20608,21554,45801,21158,20673,49530,18324,21956,49518,19690,22724,52089,-,-,-
네덜란드,4524,7081,13564,6364,8934,15411,7327,10676,17292,7708,11499,17622,7738,11691,17613,7857,11873,18147,8069,12163,18758,8675,12821,19588,8394,12435,19234,8528,12927,19402,8768,13245,19872,9301,13889,20445,-,-,-
노르웨이,7808,-,12953,9793,-,-,11861,-,18613,12648,-,19056,12942,-,18868,13102,-,18973,12603,14371,20052,13370,15370,21179,13151,15201,21009,13012,15096,20558,12878,15166,22446,13906,15735,23439,-,-,-
폴란드,3047,1297,2102,3412,3072,4774,4877,4444,6131,5236,4816,6551,5996,5426,7218,6119,5718,6993,6580,6201,7731,6933,6440,8423,7039,6707,8793,6821,6870,9778,6943,7265,9155,7806,7577,10044,-,-,-
포르투갈,4351,-,4914,5620,-,9636,5985,-,9602,6821,-,9620,-,-,10267,-,-,9493,6437,9800,9798,7768,11081,11094,7909,10747,11788,7418,9567,11827,7828,10180,11213,8766,10721,11788,-,-,-
러시아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7102,4470,-,7424,-,5224,8174,-,5391,8748,-,5001,8919,-,4366,8169,-,4276,8537,-,5382,8629,-,-,-
슬로바키아,1652,-,4810,2770,-,5846,3995,-,6541,4764,-,6735,5281,-,7196,5126,-,8211,5570,5300,9282,6019,5870,10225,6203,6421,11234,6896,6677,15916,6659,6302,10979,6836,6652,11715,-,-,-
슬로베니아,-,-,-,-,-,-,-,-,-,-,-,-,3920,-,8988,4028,-,9864,9345,8443,10015,9316,8661,9865,9266,8554,10037,8584,8331,10258,8797,8660,11487,9062,9370,12787,-,-,-
스페인,3979,5212,6856,5415,7133,9924,7019,9707,13076,7297,9918,13267,7185,9495,13201,7161,9331,13025,7011,8867,12083,6968,8488,12699,7052,8532,12524,7357,9064,12667,7805,9691,12865,8161,10134,13446,-,-,-
스웨덴,6638,-,15793,7672,-,15550,9552,-,20305,9750,-,20775,10104,-,20650,10519,-,21084,10513,11395,23142,10807,11507,23817,10832,11371,24509,10973,11527,24686,11569,12135,24839,12189,12634,25584,-,-,-
스위스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15447,17872,24848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
영국,-,-,-,7698,-,-,8432,-,-,8919,-,-,9430,-,-,9629,-,-,9924,9999,24112,10615,12139,25614,11277,12352,24346,11715,10647,26513,11350,11122,26186,11604,11592,28144,-,-,-
아프리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오스트레일리아,4550,6391,12505,6004,7841,14172,7104,9369,15768,8589,10982,16602,9383,11422,16310,9099,11168,16382,8591,10769,16003,9242,11669,18253,9258,11733,19494,9525,12275,20299,10023,11661,16185,10238,12640,20436,-,-,-
뉴질랜드,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6998,9314,13603,7177,9952,14234,7449,10281,15109,7786,10300,15045,8454,10678,15235,8533,11117,16068,-,-,-
